"","x"
"1",8716.09155723303
"2",6990.91529367604
"3",8276.83776938618
"4",7792.20178730822
"5",7801.13089583553
"6",7283.7903569335
"7",7512.73726611017
"8",7464.15987000521
"9",8903.87739249909
"10",9688.87229748207
"11",7819.1674268625
"12",6144.47747265696
"13",10179.969991052
"14",5611.35135221854
"15",7586.95716957855
"16",8016.89275586176
"17",7684.15084898926
"18",8728.10460149077
"19",7471.094089041
"20",8366.38983572291
"21",8138.31267335369
"22",8580.72453110457
"23",7131.93882837989
"24",5744.64212257644
"25",9525.29697434956
"26",6955.69131202197
"27",7062.8833589169
"28",8887.95932304618
"29",6487.93567982111
"30",8129.72669633685
"31",4758.76170303763
"32",5793.95552498412
"33",5631.57091146643
"34",7775.01778723566
"35",8211.46454667323
"36",8932.20571080471
"37",7730.08735787228
"38",7898.3633848865
"39",7116.67629848694
"40",6457.04019702925
"41",7864.7491195474
"42",9241.75157147331
"43",8354.6201043389
"44",6701.05103789595
"45",8653.12102929343
"46",6644.06272858291
"47",7001.61513314094
"48",7440.93758466471
"49",8886.98790206762
"50",8776.71094764844
"51",7291.4020087373
"52",7611.10502195656
"53",9982.21066726491
"54",6920.28344969943
"55",9496.79661487111
"56",8750.93220270404
"57",7202.45564994478
"58",6993.41898293107
"59",8498.34765779029
"60",9303.43074978648
"61",7621.56514240439
"62",8431.67240253024
"63",7618.35620754886
"64",8201.77018760599
"65",8298.15415517317
"66",8351.05061035759
"67",8252.0992771996
"68",8480.8823333015
"69",8964.49347864268
"70",9173.73069024752
"71",9683.94321714935
"72",8235.44468856032
"73",4473.41424688105
"74",7525.94522340782
"75",7436.20306083389
"76",8671.06539080027
"77",7495.48305585407
"78",7768.26363711779
"79",8363.1664617011
"80",9501.82011638974
"81",8563.91548225661
"82",9090.29849056751
"83",8754.70513405681
"84",9134.43355174929
"85",7067.60884807298
"86",7973.41897518908
"87",7798.89847817062
"88",8023.59188407862
"89",9736.62677492553
"90",9712.56230727907
"91",8094.23321641099
"92",9394.82358849136
"93",7251.31079833463
"94",8043.24292167171
"95",7127.63827565992
"96",8512.11467622416
"97",7787.74975113952
"98",6114.83180230646
"99",6396.87786960056
"100",6096.08324931515
"101",9408.05579453608
"102",8469.49109531876
"103",7165.25773028574
"104",6427.2148538335
"105",8723.97411603133
"106",6335.13056578851
"107",7960.18517581731
"108",7005.05804481368
"109",5964.48088649725
"110",9994.74983476457
"111",8104.90592766313
"112",8222.19651482407
"113",6647.87576800668
"114",9049.81971329253
"115",7248.88897129717
"116",7538.49276367764
"117",9320.85730423178
"118",8647.14452106133
"119",7607.79885114777
"120",9252.53613392744
"121",8271.31395050916
"122",7953.47646936669
"123",8094.7608694194
"124",8806.66361795411
"125",5857.35592525132
"126",7766.22422006546
"127",8607.59894032948
"128",5903.9230005204
"129",7864.55345009738
"130",8446.13842632111
"131",8109.52361146643
"132",8276.14916730922
"133",9397.00212441216
"134",8285.60751694322
"135",7165.67147844399
"136",7927.49896963863
"137",7511.43269867209
"138",8145.75406195623
"139",6271.36906211496
"140",6129.27796249497
"141",6879.83399247267
"142",9271.274993613
"143",9015.4614121817
"144",8223.7420240436
"145",9546.17448778718
"146",10534.5100782576
"147",7829.065522609
"148",8947.28520090515
"149",9227.68581436017
"150",6353.83954136643
"151",8701.27652990908
"152",7170.01289658045
"153",7934.41963973007
"154",9525.06584986669
"155",7755.66410850312
"156",6595.66709835985
"157",7039.18719294846
"158",7050.19674629709
"159",7493.75426194417
"160",5887.00240827228
"161",7771.46250345733
"162",6612.04928194932
"163",9656.54321173982
"164",7706.97329262203
"165",8498.21171235295
"166",8473.71557643877
"167",7567.78116303743
"168",7879.55154029264
"169",8995.6670765769
"170",8625.40715743
"171",8984.41676341234
"172",8082.17225768499
"173",8551.26829288408
"174",8588.11541769409
"175",8933.40314202405
"176",7376.53430734274
"177",5891.21869910632
"178",6745.89323860162
"179",7884.58603349052
"180",6617.12535201009
"181",8107.06127784859
"182",6825.13603738471
"183",9613.80054977084
"184",10019.0570578806
"185",4979.20793581645
"186",7513.75882405234
"187",8833.44445177168
"188",9084.22834331018
"189",9796.35867533984
"190",9466.87524060043
"191",7619.10360870261
"192",9825.78440283821
"193",8864.01439231111
"194",7882.69128081786
"195",7241.07785178439
"196",7414.73723467941
"197",7940.65181661014
"198",6787.67426327464
"199",8214.44054497834
"200",6726.0733924065
"201",8004.60791256336
"202",7457.8478009366
"203",7375.05688928416
"204",8210.04098186824
"205",7116.58224990566
"206",9019.89865872273
"207",6713.52617071055
"208",8486.78672118825
"209",6811.11752131826
"210",7971.08152430498
"211",9687.08425884683
"212",7950.04516455918
"213",8154.33739791439
"214",8601.15991605325
"215",7506.13407715131
"216",7887.79759722086
"217",10181.5173452305
"218",8925.61722840335
"219",8893.25333216145
"220",7660.48748596419
"221",9581.28716004681
"222",9568.66391007672
"223",8756.75721380606
"224",8806.62959229693
"225",6843.93416027737
"226",7553.6559878957
"227",6666.51072437036
"228",8602.50481524552
"229",6321.98242120971
"230",7749.74661974789
"231",6637.1772218692
"232",7879.46321265693
"233",5475.24415086317
"234",8525.24405106268
"235",8603.02695735561
"236",8126.48457344807
"237",6944.70053652346
"238",6321.39971701264
"239",7620.51475837578
"240",7037.58104349424
"241",7871.5606729151
"242",5845.17992262598
"243",10282.4528261627
"244",8195.80246418519
"245",5818.57778351114
"246",8324.82158693028
"247",6545.95601425816
"248",8279.26454901658
"249",7197.37380791957
"250",9905.50457387528
"251",7218.26315203891
"252",8561.85695444478
"253",7630.8231186418
"254",8479.8108847824
"255",6506.12028616818
"256",6736.1316058265
"257",8784.53643142503
"258",7990.56450746321
"259",8398.97726463703
"260",7730.85312994597
"261",7465.75417740217
"262",7850.17279163713
"263",7278.32746816834
"264",8169.81833747395
"265",7477.05914394717
"266",9260.83779330659
"267",8922.60255324582
"268",7897.09280354644
"269",6699.47050393489
"270",7599.13262361456
"271",5412.05638819921
"272",9221.06674238005
"273",7292.95969567286
"274",8005.74775846432
"275",9024.70200799019
"276",7763.71644400338
"277",7376.78175647002
"278",7266.94439111619
"279",10178.3701940454
