Data File Name,CADAM_11jan17_1_DNA 12000_DE72901785_2017-01-11_10-14-38.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\2017-01-11
Date Created,"Wednesday, January 11, 2017 9:14:38 AM"
Date Last Modified,"Wednesday, January 11, 2017 9:36:50 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,DNA 12000 Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,DNA 12000
Assay Version,2.4
 
Number of Samples Run,6
 
Sample Name,Sample 5
Number of Events,1581
 
Time,Value
20,-0.1588745
20.05,-0.1588745
20.1,-0.1588745
20.15,-0.1588745
20.2,-0.1588745
20.25,-0.1588745
20.3,-0.1588745
20.35,-0.1588745
20.4,-0.1588745
20.45,-0.1588745
20.5,-0.1588745
20.55,-0.1588745
20.6,-0.1588745
20.65,-0.1588745
20.7,-0.1588745
20.75,-0.1588745
20.8,-0.1588745
20.85,-0.1588745
20.9,-0.1588745
20.95,-0.1588745
21,-0.1588745
21.05,-0.1588745
21.1,-0.1588745
21.15,-0.1588745
21.2,-0.1588745
21.25,-0.1588745
21.3,-0.1588745
21.35,-0.1588745
21.4,-0.1588745
21.45,-0.1588745
21.5,-0.1588745
21.55,-0.1588745
21.6,-0.1588745
21.65,-0.1588745
21.7,-0.1588745
21.75,-0.1588745
21.8,-0.1588745
21.85,-0.1588745
21.9,-0.1588745
21.95,-0.1588745
22,-0.1588745
22.05,-0.1588745
22.1,-0.1588745
22.15,-0.1588745
22.2,-0.1588745
22.25,-0.1588745
22.3,-0.1588745
22.35,-0.1588745
22.4,-0.1588745
22.45,-0.1588745
22.5,-0.1588745
22.55,-0.1588745
22.6,-0.1588745
22.65,-0.1588745
22.7,-0.1588745
22.75,-0.1588745
22.8,-0.1588745
22.85,-0.1588745
22.9,-0.1588745
22.95,-0.1697279
23,-0.1075893
23.05,7.798971E-02
23.1,0.1727022
23.15,0.1754875
23.2,0.2045928
23.25,0.23149
23.3,0.1796257
23.35,0.1417552
23.4,-1.608956E-02
23.45,-5.652104E-02
23.5,0.1106174
23.55,0.1960844
23.6,0.2107049
23.65,0.3311982
23.7,0.5697587
23.75,0.5045456
23.8,0.3200169
23.85,0.107359
23.9,-9.968814E-03
23.95,-7.044939E-02
24,-0.1563293
24.05,-0.2396059
24.1,-0.1884462
24.15,-3.752737E-02
24.2,-0.1601348
24.25,-0.1451853
24.3,-8.372636E-02
24.35,-6.285553E-02
24.4,-6.715877E-02
24.45,-5.317565E-02
24.5,-3.897919E-02
24.55,-3.319855E-02
24.6,-6.929161E-02
24.65,-9.547441E-02
24.7,-9.749305E-02
24.75,-0.1388501
24.8,-0.1920401
24.85,-0.1921531
24.9,-0.1906897
24.95,-0.2460265
25,-0.2609349
25.05,-0.2469544
25.1,-0.1886786
25.15,-0.1318997
25.2,-9.647183E-02
25.25,-4.826636E-02
25.3,3.616992E-02
25.35,2.381084E-02
25.4,0.1732736
25.45,0.1759621
25.5,0.1165844
25.55,4.102698E-02
25.6,-0.0483698
25.65,-0.1279968
25.7,-0.1429772
25.75,-7.143009E-02
25.8,-7.166839E-02
25.85,-6.889312E-02
25.9,-0.1453124
25.95,-0.233037
26,-0.2475197
26.05,-0.2616991
26.1,-0.2653803
26.15,-0.3409298
26.2,-0.1774186
26.25,3.875358E-02
26.3,0.1620875
26.35,0.1602237
26.4,8.327189E-02
26.45,-0.0232682
26.5,-0.1979366
26.55,-0.3703505
26.6,-0.4520964
26.65,-0.3324278
26.7,-0.2361415
26.75,-0.2643936
26.8,-0.2791157
26.85,-0.2516864
26.9,-0.2121389
26.95,-0.2967816
27,-0.3516457
27.05,-0.4000666
27.1,-0.3971898
27.15,-0.3408226
27.2,-0.3155042
27.25,-0.2852277
27.3,-0.2935199
27.35,-0.2896552
27.4,-0.2585426
27.45,-0.23224
27.5,-0.2299447
27.55,-0.2387239
27.6,-0.2361755
27.65,-0.2776234
27.7,-0.2807128
27.75,-0.2973081
27.8,-0.300049
27.85,-0.1535342
27.9,0.1095269
27.95,0.3086166
28,0.3395585
28.05,0.2869878
28.1,3.95539E-03
28.15,-0.3079861
28.2,-0.6016809
28.25,-0.7452059
28.3,-0.6899884
28.35,-0.5457733
28.4,-0.4797845
28.45,-0.5011007
28.5,-0.4007803
28.55,-0.4034508
28.6,-0.4280401
28.65,-0.4649467
28.7,-0.4500348
28.75,-0.2772682
28.8,-0.2419274
28.85,-0.1980061
28.9,-0.1744212
28.95,-0.1347183
29,-0.1748173
29.05,-0.2340448
29.1,-0.2070598
29.15,-0.1200222
29.2,5.295941E-02
29.25,-0.011894
29.3,-0.0871635
29.35,-0.2393709
29.4,-0.3554944
29.45,-0.3956043
29.5,-0.3990356
29.55,-0.3439498
29.6,-0.3718973
29.65,-0.3372054
29.7,-0.3749103
29.75,-0.4400706
29.8,-0.4922287
29.85,-0.4931941
29.9,-0.4442865
29.95,-0.464338
30,-0.5599378
30.05,-0.6351261
30.1,-0.5999234
30.15,-0.5613566
30.2,-0.5196012
30.25,-0.4582462
30.3,-0.3893013
30.35,-0.1378511
30.4,-5.593874E-02
30.45,-8.013985E-02
30.5,-0.1614934
30.55,-0.2413309
30.6,-0.3365549
30.65,-0.4511656
30.7,-0.499496
30.75,-0.5087584
30.8,-0.3625578
30.85,-0.4063505
30.9,-0.478492
30.95,-0.5392137
31,-0.5069138
31.05,-0.3530412
31.1,-0.2956388
31.15,-0.3239041
31.2,-0.217098
31.25,-0.1797255
31.3,-0.1824676
31.35,-0.1933809
31.4,-0.2162586
31.45,-0.2588229
31.5,-0.272428
31.55,-0.4393092
31.6,-0.5269108
31.65,-0.525341
31.7,-0.5183591
31.75,-0.4746274
31.8,-0.3887547
31.85,-0.3616165
31.9,-0.3886956
31.95,-0.4307165
32,-0.5191892
32.05,-0.5916665
32.1,-0.6677148
32.15,-0.7029464
32.2,-0.6579716
32.25,-0.5978134
32.3,-0.5644983
32.35,-0.5782079
32.4,-0.5596662
32.45,-0.576435
32.5,-0.5667915
32.55,-0.5186105
32.6,-0.480985
32.65,-0.4546345
32.7,-0.4710063
32.75,-0.5198233
32.8,-0.5586981
32.85,-0.5251737
32.9,-0.471859
32.95,-0.4332328
33,-0.4063163
33.05,-0.4869554
33.1,-0.5277654
33.15,-0.520349
33.2,-0.4684602
33.25,-0.4167836
33.3,-0.3539551
33.35,-0.3174344
33.4,-0.3982668
33.45,-0.4581243
33.5,-0.5697771
33.55,-0.6056982
33.6,-0.59058
33.65,-0.5533295
33.7,-0.537011
33.75,-0.5577657
33.8,-0.5764734
33.85,-0.5856427
33.9,-0.5569472
33.95,-0.5951522
34,-0.5949336
34.05,-0.5543044
34.1,-0.5382899
34.15,-0.5679644
34.2,-0.5247899
34.25,-0.3259358
34.3,6.292877E-02
34.35,0.8734781
34.4,2.649019
34.45,5.869258
34.5,10.88534
34.55,17.99291
34.6,27.57744
34.65,40.21327
34.7,54.73814
34.75,70.09734
34.8,85.52152
34.85,100.2169
34.9,113.1246
34.95,122.9199
35,128.5011
35.05,127.7244
35.1,121.1317
35.15,109.2904
35.2,93.78033
35.25,76.43236
35.3,59.07409
35.35,43.4071
35.4,30.5525
35.45,20.98401
35.5,13.89385
35.55,8.871866
35.6,5.486491
35.65,3.293609
35.7,1.85727
35.75,0.8205454
35.8,0.3249915
35.85,8.346306E-02
35.9,-0.1189761
35.95,-0.2625577
36,-0.3523975
36.05,-0.4051643
36.1,-0.4368622
36.15,-0.4919275
36.2,-0.5283921
36.25,-0.4904533
36.3,-0.4699563
36.35,-0.5285875
36.4,-0.5455137
36.45,-0.468665
36.5,-0.4151716
36.55,-0.2255798
36.6,-6.764308E-02
36.65,-8.282881E-02
36.7,-0.1445171
36.75,-0.2277466
36.8,-0.3420594
36.85,-0.4486998
36.9,-0.4631909
36.95,-0.5717872
37,-0.4655544
37.05,-0.420042
37.1,-0.4425143
37.15,-0.4584024
37.2,-0.437674
37.25,-0.4354552
37.3,-0.5246885
37.35,-0.4861907
37.4,-0.5175266
37.45,-0.53085
37.5,-0.523654
37.55,-0.5518698
37.6,-0.6293734
37.65,-0.6907756
37.7,-0.6626451
37.75,-0.6161209
37.8,-0.5270501
37.85,-0.53844
37.9,-0.5510882
37.95,-0.5544181
38,-0.5951208
38.05,-0.6690467
38.1,-0.6993054
38.15,-0.6556275
38.2,-0.5698178
38.25,-0.5243275
38.3,-0.5120538
38.35,-0.4592055
38.4,-0.3657598
38.45,-0.3732659
38.5,-0.3731728
38.55,-0.4275824
38.6,-0.4752374
38.65,-0.5069025
38.7,-0.5258354
38.75,-0.5621692
38.8,-0.6137117
38.85,-0.5836667
38.9,-0.635537
38.95,-0.6210506
39,-0.5947231
39.05,-0.4905789
39.1,-0.3709296
39.15,-0.3738436
39.2,-0.4411368
39.25,2.823683E-02
39.3,0.3321392
39.35,0.3475457
39.4,0.2703765
39.45,9.947088E-02
39.5,1.335522E-02
39.55,7.170688E-02
39.6,6.514378E-02
39.65,0.1242836
39.7,0.3430471
39.75,0.1618345
39.8,-6.400616E-02
39.85,-0.2397797
39.9,-0.3554769
39.95,-0.3906494
40,-0.3376808
40.05,-0.4653466
40.1,-0.4715317
40.15,-0.5482571
40.2,-0.5244384
40.25,-0.4856765
40.3,-0.4942854
40.35,-0.5219386
40.4,-0.5998652
40.45,-0.6947873
40.5,-0.6155151
40.55,-0.4895313
40.6,-0.4241643
40.65,-0.3824224
40.7,-0.3677566
40.75,-0.4661226
40.8,-0.6276009
40.85,-0.7839706
40.9,-0.8139738
40.95,-0.7502444
41,-0.6886824
41.05,-0.6639704
41.1,-0.6449063
41.15,-0.6043242
41.2,-0.6488152
41.25,-0.7325249
41.3,-0.7594569
41.35,-0.7320265
41.4,-0.6719281
41.45,-0.594934
41.5,-0.5355443
41.55,-0.5487005
41.6,-0.5092725
41.65,-0.5749038
41.7,-0.4938222
41.75,-0.379528
41.8,-0.2822303
41.85,-0.2493947
41.9,-0.3147951
41.95,-0.4221494
42,-0.5908113
42.05,-0.5969599
42.1,-0.5795082
42.15,-0.5651527
42.2,-0.5965561
42.25,-0.6747572
42.3,-0.7308887
42.35,-0.6870824
42.4,-0.6149583
42.45,-0.5928454
42.5,-0.5267356
42.55,-0.5382992
42.6,-0.6365758
42.65,-0.7457224
42.7,-0.8158655
42.75,-0.8303238
42.8,-0.7935236
42.85,-0.8059552
42.9,-0.7961464
42.95,-0.7406241
43,-0.6893441
43.05,-0.6716574
43.1,-0.6246478
43.15,-0.6714015
43.2,-0.7280827
43.25,-0.7755982
43.3,-0.8458767
43.35,-0.8913433
43.4,-0.8919476
43.45,-0.8692356
43.5,-0.8052459
43.55,-0.6356006
43.6,-0.605379
43.65,-0.5414513
43.7,-0.5588354
43.75,-0.6417228
43.8,-0.7304981
43.85,-0.8019949
43.9,-0.804138
43.95,-0.7816401
44,-0.7595732
44.05,-0.7601077
44.1,-0.7461316
44.15,-0.7587776
44.2,-0.7697314
44.25,-0.6597528
44.3,-0.717825
44.35,-0.6269956
44.4,-0.6890622
44.45,-0.7868847
44.5,-0.8797299
44.55,-0.9723995
44.6,-1.032564
44.65,-0.9511018
44.7,-0.7545865
44.75,-0.7540673
44.8,-0.6561008
44.85,-0.6778613
44.9,-0.7499669
44.95,-0.8204726
45,-0.915789
45.05,-0.9336283
45.1,-0.9503191
45.15,-0.7919396
45.2,-0.6952811
45.25,-0.5887583
45.3,-0.509482
45.35,-0.5100623
45.4,-0.5801729
45.45,-0.7310495
45.5,-0.8161379
45.55,-0.8686441
45.6,-0.8890469
45.65,-0.9542232
45.7,-1.011918
45.75,-1.006902
45.8,-1.002896
45.85,-0.9980714
45.9,-0.98065
45.95,-0.9403579
46,-0.9131683
46.05,-0.9519148
46.1,-1.024645
46.15,-1.061925
46.2,-1.065096
46.25,-1.089109
46.3,-1.072502
46.35,-1.070628
46.4,-1.022219
46.45,-0.9898336
46.5,-1.030777
46.55,-1.119137
46.6,-1.172888
46.65,-1.184196
46.7,-1.202412
46.75,-1.189147
46.8,-1.195961
46.85,-1.155553
46.9,-1.072242
46.95,-1.061823
47,-1.06191
47.05,-1.135131
47.1,-1.181614
47.15,-1.194605
47.2,-1.209854
47.25,-1.200074
47.3,-1.13668
47.35,-1.0725
47.4,-1.120194
47.45,-1.196401
47.5,-1.296574
47.55,-1.279982
47.6,-1.209383
47.65,-1.12825
47.7,-1.039199
47.75,-0.993531
47.8,-1.054739
47.85,-1.165663
47.9,-1.30387
47.95,-1.380584
48,-1.3652
48.05,-1.306892
48.1,-1.262314
48.15,-1.186074
48.2,-1.162952
48.25,-1.156206
48.3,-1.180492
48.35,-1.185552
48.4,-1.181607
48.45,-1.192366
48.5,-1.217231
48.55,-1.266974
48.6,-1.307149
48.65,-1.328359
48.7,-1.212053
48.75,-1.073753
48.8,-0.9905427
48.85,-1.002977
48.9,-1.138709
48.95,-1.208768
49,-1.363062
49.05,-1.44873
49.1,-1.481691
49.15,-1.452023
49.2,-1.435887
49.25,-1.493093
49.3,-1.525803
49.35,-1.597077
49.4,-1.485691
49.45,-1.389295
49.5,-1.331188
49.55,-1.320502
49.6,-1.354266
49.65,-1.436105
49.7,-1.5937
49.75,-1.569754
49.8,-1.528445
49.85,-1.346231
49.9,-1.167982
49.95,-1.086572
50,-1.10766
50.05,-1.186235
50.1,-1.270618
50.15,-1.317182
50.2,-1.292694
50.25,-1.283536
50.3,-1.284354
50.35,-1.293857
50.4,-1.327799
50.45,-1.384676
50.5,-1.374032
50.55,-1.261308
50.6,-1.249016
50.65,-1.328979
50.7,-1.448038
50.75,-1.445019
50.8,-1.263925
50.85,-1.160083
50.9,-1.057912
50.95,-1.038265
51,-1.120792
51.05,-1.283047
51.1,-1.464105
51.15,-1.589071
51.2,-1.58217
51.25,-1.392924
51.3,-1.386385
51.35,-1.358211
51.4,-1.393745
51.45,-1.424619
51.5,-1.452017
51.55,-1.507218
51.6,-1.577765
51.65,-1.587566
51.7,-1.497694
51.75,-1.525927
51.8,-1.584043
51.85,-1.64857
51.9,-1.672547
51.95,-1.662257
52,-1.701359
52.05,-1.654861
52.1,-1.648119
52.15,-1.509309
52.2,-1.455375
52.25,-1.482148
52.3,-1.538241
52.35,-1.597141
52.4,-1.651384
52.45,-1.818358
52.5,-1.830845
52.55,-1.82066
52.6,-1.712036
52.65,-1.618599
52.7,-1.602856
52.75,-1.602872
52.8,-1.605276
52.85,-1.647697
52.9,-1.706464
52.95,-1.742528
53,-1.753891
53.05,-1.692052
53.1,-1.572371
53.15,-1.489639
53.2,-1.412287
53.25,-1.407025
53.3,-1.454702
53.35,-1.558212
53.4,-1.63639
53.45,-1.677683
53.5,-1.645645
53.55,-1.446346
53.6,-1.370394
53.65,-1.37709
53.7,-1.493492
53.75,-1.589384
53.8,-1.696305
53.85,-1.806833
53.9,-1.879766
53.95,-1.947823
54,-1.90692
54.05,-1.74646
54.1,-1.615029
54.15,-1.53885
54.2,-1.457765
54.25,-1.422067
54.3,-1.533101
54.35,-1.652641
54.4,-1.861369
54.45,-1.859081
54.5,-1.807043
54.55,-1.790977
54.6,-1.766431
54.65,-1.705601
54.7,-1.695069
54.75,-1.84267
54.8,-1.917419
54.85,-2.074724
54.9,-2.029297
54.95,-1.964294
55,-1.926626
